City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tocopilla,-22.092,-70.1979,18.31,67,9,2.93,CL,1724791313
1,mount gambier,-37.8333,140.7667,10.14,62,74,7.6,AU,1724791323
2,fortuna,40.5982,-124.1573,20.19,76,0,6.17,US,1724791326
3,kisangani,0.5167,25.2,23.31,84,53,0.95,CD,1724791328
4,yellowknife,62.456,-114.3525,20.23,76,75,2.57,CA,1724791330
5,laojunmiao,39.8333,97.7333,18.6,59,7,1.21,CN,1724791333
6,puerto natales,-51.7236,-72.4875,10.25,43,75,9.26,CL,1724791336
7,adamstown,-25.066,-130.1015,19.45,71,99,7.83,PN,1724791340
8,port-aux-francais,-49.35,70.2167,3.83,98,100,8.71,TF,1724791343
9,port mathurin,-19.6833,63.4167,21.03,66,99,13.14,MU,1724791346
10,juliaca,-15.5,-70.1333,19.99,9,20,4.63,PE,1724791294
11,port lincoln,-34.7333,135.8667,12.86,62,1,9.81,AU,1724791118
12,isafjordur,66.0755,-23.124,5.95,86,39,2.74,IS,1724791353
13,georgetown,5.4112,100.3354,24.97,93,40,1.54,MY,1724791111
14,lebu,-37.6167,-73.65,9.08,70,100,6.38,CL,1724791360
15,amga,60.8953,131.9608,6.69,79,95,0.66,RU,1724791363
16,albany,42.6001,-73.9662,30.36,62,3,0.41,US,1724791158
17,edinburgh of the seven seas,-37.0676,-12.3116,11.66,73,100,11.61,SH,1724791375
18,yei,4.095,30.6779,19.46,95,25,0.48,SS,1724791377
19,talnakh,69.4865,88.3972,12.39,97,99,1.25,RU,1724791382
20,tolanaro,-25.0319,46.9987,22.04,78,20,11.83,MG,1724791386
21,nevel'sk,46.6733,141.8633,17.55,96,100,2.46,RU,1724791389
22,st. paul,44.9444,-93.0933,26.34,75,100,3.09,US,1724791211
23,ilulissat,69.2167,-51.1,5.01,93,75,2.57,GL,1724791399
24,papatowai,-46.5619,169.4708,9.93,84,69,2.57,NZ,1724791407
25,port elizabeth,-33.918,25.5701,13.16,94,75,13.38,ZA,1724791410
26,aykhal,66.0,111.5,7.41,76,83,2.06,RU,1724791411
27,papao,-17.75,-149.55,26.82,75,100,7.22,PF,1724791412
28,kailua-kona,19.6406,-155.9956,27.98,82,20,5.14,US,1724791414
29,laguna,38.421,-121.4238,36.17,27,0,3.6,US,1724791415
30,suifenhe,44.4,131.1667,13.33,95,0,1.57,CN,1724791417
31,baharly,38.4362,57.4316,27.21,21,0,2.71,TM,1724791418
32,howrah,22.5892,88.3103,27.0,94,20,1.54,IN,1724791197
33,blackmans bay,-43.0167,147.3167,7.07,92,99,2.68,AU,1724791423
34,bubaque,11.2833,-15.8333,27.03,87,100,7.83,GW,1724791426
35,klyuchi,52.2667,79.1667,15.3,68,83,0.9,RU,1724791430
36,carnarvon,-24.8667,113.6333,17.88,77,0,5.24,AU,1724791434
37,invercargill,-46.4,168.35,7.79,98,68,0.89,NZ,1724791435
38,olonkinbyen,70.9221,-8.7187,3.33,81,35,1.68,SJ,1724791437
39,mamit,23.9333,92.4833,21.7,99,86,1.3,IN,1724791440
40,lompoc,34.6391,-120.4579,22.51,60,0,6.69,US,1724791443
41,grytviken,-54.2811,-36.5092,3.2,83,91,4.27,GS,1724791446
42,bobo-dioulasso,11.1771,-4.2979,23.25,94,20,3.09,BF,1724791449
43,wailua homesteads,22.0669,-159.378,27.44,72,0,6.69,US,1724791451
44,iqaluit,63.7506,-68.5145,6.85,93,100,2.06,CA,1724791456
45,st. john's,47.5649,-52.7093,20.71,68,75,5.14,CA,1724791319
46,cascais,38.6979,-9.4215,19.64,69,0,9.26,PT,1724791465
47,brasilia,-15.7797,-47.9297,28.51,30,4,3.09,BR,1724791171
48,east london,-33.0153,27.9116,16.99,69,0,7.0,ZA,1724791470
49,itogon,16.3167,120.7333,22.9,97,82,1.12,PH,1724791472
50,lihue,21.9789,-159.3672,27.77,71,0,6.69,US,1724791476
51,west island,-12.1568,96.8225,25.99,89,75,6.69,CC,1724791480
52,udachny,66.4167,112.4,9.7,70,95,1.82,RU,1724791482
53,saint-philippe,-21.3585,55.7679,20.37,79,67,8.25,RE,1724791484
54,mount isa,-20.7333,139.5,11.87,66,0,1.54,AU,1724791486
55,khandyga,62.6667,135.6,6.0,68,98,1.88,RU,1724791490
56,port saint john's,-31.6229,29.5448,19.7,73,0,7.48,ZA,1724791492
57,goba,7.0167,39.9833,10.84,91,67,2.55,ET,1724791493
58,ketchikan,55.3422,-131.6461,17.26,55,0,3.6,US,1724791477
59,waitangi,-43.9535,-176.5597,12.12,98,100,3.58,NZ,1724791496
60,karasburg,-28.0167,18.75,6.96,82,0,6.83,NA,1724791497
61,ji'an,27.1172,114.9793,25.26,94,79,2.37,CN,1724791498
62,constantia,44.1833,28.65,23.38,69,100,7.34,RO,1724791499
63,georgiyevka,43.0369,74.7114,20.02,52,40,3.0,KZ,1724791501
64,hawaiian paradise park,19.5933,-154.9731,28.74,71,40,1.54,US,1724791502
65,whitehorse,60.7161,-135.0538,14.5,45,75,6.17,CA,1724791503
66,longyearbyen,78.2186,15.6401,4.91,81,75,7.2,SJ,1724791505
67,high river,50.5834,-113.8687,22.95,24,100,11.29,CA,1724791507
68,bethel,41.3712,-73.414,29.81,60,40,1.54,US,1724791392
69,ust'-ilimsk,58.0006,102.6619,11.73,94,98,3.04,RU,1724791510
70,antsiranana,-12.2787,49.2917,22.33,74,10,9.61,MG,1724791511
71,souillac,-20.5167,57.5167,21.21,78,75,8.75,MU,1724791512
72,ceelbuur,4.685,46.6176,26.33,70,12,8.38,SO,1724791514
73,general tinio,15.35,121.05,23.89,97,95,2.14,PH,1724791515
74,inhambane,-23.865,35.3833,22.97,87,0,7.26,MZ,1724791516
75,opuwo,-18.0607,13.84,19.91,18,0,2.32,NA,1724791518
76,jamestown,42.097,-79.2353,31.68,45,0,6.17,US,1724791519
77,ekibastuz,51.6667,75.3667,16.5,60,100,1.85,KZ,1724791520
78,mount hagen,-5.8581,144.2274,15.42,100,75,1.54,PG,1724791523
79,ushuaia,-54.8,-68.3,6.81,61,20,5.14,AR,1724791524
80,qaqortoq,60.7167,-46.0333,5.46,82,100,1.65,GL,1724791525
81,dudinka,69.4058,86.1778,11.46,90,92,1.19,RU,1724791527
82,yuzhno-kurilsk,44.0306,145.8556,18.01,98,100,3.41,RU,1724791528
83,mccook,40.2019,-100.6257,33.45,29,85,4.35,US,1724791529
84,mount pearl,47.5166,-52.7813,20.25,72,75,5.14,CA,1724791530
85,vryburg,-26.9566,24.7284,12.86,20,0,3.94,ZA,1724791473
86,utrik,11.2278,169.8474,28.81,78,93,6.43,MH,1724791533
87,avarua,-21.2078,-159.775,24.03,88,75,7.2,CK,1724791382
88,newman,37.3138,-121.0208,38.81,10,0,0.92,US,1724791536
89,ust-nera,64.5667,143.2,3.35,93,100,2.45,RU,1724791537
90,fedorovskiy,45.0972,40.9517,24.09,39,8,4.53,RU,1724791538
91,anchorage,61.2181,-149.9003,15.51,75,100,5.66,US,1724791485
92,santa cruz,-17.8,-63.1667,25.7,27,0,2.57,BO,1724791261
93,akobo,7.4344,3.9497,22.22,98,85,1.99,NG,1724791542
94,iskateley,67.6803,53.1512,11.96,78,64,5.65,RU,1724791543
95,margaret river,-33.95,115.0667,13.47,67,100,4.33,AU,1724791544
96,enewetak,11.3474,162.3373,28.85,81,90,9.06,MH,1724791546
97,kristiansund,63.1115,7.732,14.51,82,75,3.09,NO,1724791547
98,tuntum,-5.2581,-44.6489,33.17,21,44,1.66,BR,1724791548
99,corinto,37.9407,22.9573,24.38,52,0,0.33,GR,1724791550
100,ribeira grande,38.5167,-28.7,24.22,64,20,3.6,PT,1724791551
101,khilok,51.3674,110.4676,8.73,84,37,1.56,RU,1724791552
102,anadyr,64.75,177.4833,13.28,66,0,1.0,RU,1724791553
103,tazovsky,67.4667,78.7,11.09,91,100,3.19,RU,1724791555
104,corner brook,48.9667,-57.9484,19.81,91,100,2.53,CA,1724791478
105,tokar,18.4254,37.729,30.38,58,80,10.93,SD,1724791557
106,vilyuchinsk,52.9306,158.4028,12.15,83,100,1.36,RU,1724791559
107,queenstown,-31.8976,26.8753,15.12,32,0,12.66,ZA,1724791560
108,novodvinsk,64.4165,40.8122,15.86,74,19,3.6,RU,1724791563
109,stanley,54.868,-1.6985,15.01,90,40,3.09,GB,1724791564
110,xichang,27.8964,102.2634,20.05,84,74,0.37,CN,1724791566
111,marsh harbour,26.5412,-77.0636,29.26,72,0,5.5,BS,1724791568
112,tayu,-6.5397,111.0518,23.07,78,92,3.4,ID,1724791569
113,fale old settlement,-9.3852,-171.2468,27.77,76,7,4.83,TK,1724791570
114,shakawe,-18.3667,21.85,19.79,21,0,0.09,BW,1724791572
115,hermanus,-34.4187,19.2345,6.56,66,98,16.11,ZA,1724791573
116,petauke,-14.2426,31.3253,20.2,36,1,1.59,ZM,1724791574
117,walvis bay,-22.9575,14.5053,13.87,79,0,7.71,NA,1724791381
118,coro,11.4045,-69.6734,31.12,67,10,7.78,VE,1724791581
119,codrington,-38.2667,141.9667,9.97,66,71,11.36,AU,1724791582
120,petropavlovsk-kamchatsky,53.0452,158.6483,11.33,100,100,1.0,RU,1724791583
121,puerto aysen,-45.4,-72.7,5.84,98,100,1.31,CL,1724791386
122,al jawf,29.5,38.75,30.21,25,8,2.86,SA,1724791586
123,mitu,1.1983,-70.1733,26.23,74,99,0.34,CO,1724791587
124,thompson,55.7435,-97.8558,20.09,37,20,2.06,CA,1724791588
125,port alfred,-33.5906,26.891,14.54,81,6,4.47,ZA,1724791589
126,badger,64.8,-147.5333,17.95,47,75,5.14,US,1724791591
127,marhamat,40.4805,72.3139,22.68,22,37,2.53,UZ,1724791592
128,chum phae,16.5443,102.0992,24.25,94,100,0.49,TH,1724791593
129,punta arenas,-53.15,-70.9167,8.06,57,75,8.75,CL,1724791595
130,polyarnyy,69.1989,33.4478,12.54,63,88,12.0,RU,1724791596
131,arraial do cabo,-22.9661,-42.0278,19.92,64,0,4.12,BR,1724791597
132,hamilton,39.1834,-84.5333,37.33,38,0,4.12,US,1724791424
133,kidal,18.4411,1.4078,35.25,38,100,8.75,ML,1724791600
134,kingston,17.997,-76.7936,28.53,79,20,6.17,JM,1724791336
135,posse,-14.0931,-46.3694,28.58,23,5,2.22,BR,1724791602
136,usogorsk,63.4106,48.6872,13.13,68,97,2.27,RU,1724791604
137,praia da vitoria,38.7333,-27.0667,25.14,65,20,3.51,PT,1724791605
138,hatton,6.8916,80.5955,17.51,80,100,0.75,LK,1724791606
139,nemuro,43.3236,145.575,17.94,100,100,2.71,JP,1724791608
140,sampit,-2.5333,112.95,23.13,98,97,0.89,ID,1724791609
141,sittwe,20.15,92.9,25.9,90,99,3.83,MM,1724791610
142,puerto ayora,-0.7393,-90.3518,20.31,91,71,2.68,EC,1724791612
143,northam,51.0333,-4.2167,16.45,92,100,4.54,GB,1724791613
144,jinchang,38.4953,102.1739,20.46,69,17,0.48,CN,1724791615
145,vorgashor,67.5833,63.95,12.35,73,64,3.57,RU,1724791616
146,rabo de peixe,37.8,-25.5833,22.73,68,20,3.6,PT,1724791617
147,katsuura,35.1333,140.3,26.77,85,80,5.88,JP,1724791619
148,hailin,44.5833,129.4167,14.53,96,2,0.88,CN,1724791620
149,palmer,42.1584,-72.3287,29.06,53,40,2.06,US,1724791622
150,natal,-5.795,-35.2094,26.36,73,75,6.69,BR,1724791399
151,remire-montjoly,4.9167,-52.2667,25.02,94,75,2.57,GF,1724791624
152,midvagur,62.0511,-7.1939,11.46,93,100,5.14,FO,1724791626
153,sydney mines,46.2367,-60.2177,24.36,67,75,3.13,CA,1724791627
154,pervomayskoye,43.919,46.7102,21.4,72,21,4.82,RU,1724791629
155,tiksi,71.6872,128.8694,2.42,84,97,3.11,RU,1724791630
156,youhao,47.8667,128.8333,13.68,96,51,0.86,CN,1724791631
157,ylistaro,62.9396,22.5131,11.98,91,62,0.45,FI,1724791633
158,tura,25.5198,90.2201,23.8,93,22,1.24,IN,1724791634
159,gamay,12.3854,125.2979,25.0,94,84,1.46,PH,1724791636
160,anahuac,27.2333,-100.15,34.25,38,80,5.36,MX,1724791637
161,linxia chengguanzhen,35.6003,103.2064,17.79,74,84,1.59,CN,1724791638
162,mikun',62.3547,50.0771,12.83,73,100,1.96,RU,1724791639
163,caburan,5.9181,125.6411,25.06,78,100,1.06,PH,1724791642
164,les anglais,18.3054,-74.2197,28.32,77,100,2.25,HT,1724791643
165,college,64.8569,-147.8028,17.26,54,75,3.09,US,1724791644
166,bilibino,68.0546,166.4372,3.46,85,100,2.45,RU,1724791646
167,charters towers,-20.1,146.2667,15.62,90,0,2.68,AU,1724791647
168,lethem,3.3803,-59.7968,23.09,95,100,2.24,GY,1724791648
169,negombo,7.2083,79.8358,26.03,89,40,2.06,LK,1724791649
170,ryotsu-minato,38.0833,138.4333,23.33,88,100,0.3,JP,1724791651
171,ugoofaaru,5.6667,73.0,27.86,76,85,2.24,MV,1724791652
172,doka,13.5167,35.7667,22.38,90,100,2.43,SD,1724791653
173,harstad,68.799,16.5293,10.64,96,100,6.71,NO,1724791655
174,rosalie,15.3667,-61.2667,33.75,55,40,0.51,DM,1724791656
175,misratah,32.3754,15.0925,28.19,64,0,4.73,LY,1724791657
176,recani,31.2846,-4.2688,35.47,19,0,3.08,MA,1724791659
177,nova sintra,14.8667,-24.7167,27.2,79,99,3.07,CV,1724791660
178,san patricio,28.017,-97.5169,33.97,44,96,6.1,US,1724791661
179,arar,30.9753,41.0381,34.01,16,0,0.0,SA,1724791663
180,berbera,10.4396,45.0143,31.42,61,100,3.39,SO,1724791664
181,cockburn town,21.4612,-71.1419,28.75,76,4,6.51,TC,1724791665
182,boguchany,58.3814,97.4531,11.94,99,100,2.03,RU,1724791666
183,sile,41.1754,29.6133,23.81,75,54,3.13,TR,1724791668
184,tabuk,17.4189,121.4443,22.78,92,5,1.19,PH,1724791669
185,vernon,50.2581,-119.2691,16.74,52,54,3.58,CA,1724791537
186,fisterra,42.9049,-9.2629,18.54,87,1,2.56,ES,1724791671
187,quelimane,-17.8786,36.8883,24.97,83,75,5.36,MZ,1724791673
188,carqueiranne,43.0953,6.073,26.95,73,0,1.03,FR,1724791674
189,peruibe,-24.32,-46.9983,13.86,77,0,0.88,BR,1724791675
190,burang,30.25,81.1667,9.29,78,81,1.31,CN,1724791677
191,ulaangom,49.9811,92.0667,16.71,38,1,7.77,MN,1724791678
192,kuqa,41.7278,82.9364,22.95,44,8,2.84,CN,1724791679
193,galliano,29.4422,-90.2992,33.0,55,0,2.06,US,1724791681
194,solnechnyy,50.7214,136.6319,14.12,90,2,1.78,RU,1724791682
195,kapuskasing,49.4169,-82.4331,20.0,52,75,4.63,CA,1724791442
196,gonzales,30.2385,-90.9201,35.59,53,0,2.57,US,1724791684
197,kitui,-1.367,38.0106,19.41,79,100,3.59,KE,1724791686
198,salida,37.7058,-121.0849,35.72,25,0,2.57,US,1724791532
199,fort bragg,35.139,-79.006,34.85,38,0,3.09,US,1724791688
200,xai-xai,-25.0519,33.6442,24.0,32,0,6.35,MZ,1724791690
201,wanning,18.8003,110.3967,26.3,89,69,3.69,CN,1724791691
202,dennery,13.8996,-60.8879,31.07,55,75,8.23,LC,1724791692
203,evanston,42.0411,-87.6901,37.1,56,75,2.57,US,1724791694
204,smithers,54.7804,-127.1743,15.18,55,40,5.14,CA,1724791695
205,sola,-13.8833,167.55,25.43,69,100,9.96,VU,1724791696
206,kurumkan,54.3,110.3,12.38,78,19,2.18,RU,1724791697
207,swakopmund,-22.6833,14.5333,13.32,85,0,3.13,NA,1724791699
208,porto murtinho,-21.6989,-57.8825,28.53,19,10,1.68,BR,1724791700
209,thunder bay,48.4001,-89.3168,19.99,60,100,5.66,CA,1724791701
210,bredasdorp,-34.5322,20.0403,7.5,74,61,11.82,ZA,1724791703
211,pacific grove,36.6177,-121.9166,27.43,73,0,2.24,US,1724791704
212,homeland park,34.4707,-82.6707,35.18,34,0,1.54,US,1724791705
213,ola,59.5833,151.2833,11.01,94,100,0.5,RU,1724791706
214,callao,-12.0667,-77.15,16.16,82,100,4.63,PE,1724791419
215,jacmel,18.2342,-72.5347,29.77,71,37,2.53,HT,1724791709
216,anupgarh,29.1911,73.2086,26.01,89,100,5.29,IN,1724791711
217,prince rupert,54.3161,-130.3201,13.83,82,0,3.09,CA,1724791712
218,mwanza,-2.5167,32.9,23.6,63,27,2.74,TZ,1724791713
219,sisimiut,66.9395,-53.6735,7.38,80,99,3.06,GL,1724791715
220,saint-pierre,-21.3393,55.4781,19.82,73,20,1.54,RE,1724791716
221,matsue,35.4722,133.0506,25.97,89,75,5.14,JP,1724791717
222,pocone,-16.2567,-56.6228,32.61,16,0,0.83,BR,1724791719
223,imishli,39.8709,48.06,25.31,41,0,3.69,AZ,1724791720
224,suining,30.508,105.5733,30.27,61,42,1.17,CN,1724791630
225,tamiahua,21.2667,-97.45,30.12,68,5,3.89,MX,1724791723
226,puerto baquerizo moreno,-0.9,-89.6,22.55,73,75,5.14,EC,1724791724
227,hobyo,5.3505,48.5268,25.24,86,6,10.58,SO,1724791725
228,loikaw,19.6742,97.2094,19.27,97,100,0.6,MM,1724791727
229,riachao das neves,-11.7461,-44.91,30.81,21,0,3.57,BR,1724791728
230,oliveira dos brejinhos,-12.3169,-42.8961,28.92,25,1,5.04,BR,1724791730
231,comodoro rivadavia,-45.8667,-67.5,12.92,30,20,3.6,AR,1724791550
232,vetlanda,57.4289,15.0776,13.13,84,100,1.35,SE,1724791732
233,zuni pueblo,35.0725,-108.8506,27.76,22,52,0.51,US,1724791734
234,hadibu,12.65,54.0333,26.66,81,81,7.63,YE,1724791735
235,chibougamau,49.9168,-74.3659,13.75,93,100,3.55,CA,1724791736
236,moniquira,5.8764,-73.5728,21.75,73,75,1.7,CO,1724791738
237,taitung city,22.7583,121.1444,27.71,74,11,1.6,TW,1724791739
238,bamboo flat,11.7,92.7167,25.05,94,100,3.6,IN,1724791740
239,lamu,-2.2717,40.902,24.98,85,31,5.82,KE,1724791742
240,olyokminsk,60.3736,120.4264,11.25,98,100,0.42,RU,1724791743
241,la passe,45.5549,-0.8967,20.21,63,22,3.42,FR,1724791745
242,chardara,41.2547,67.9692,21.95,37,4,3.61,KZ,1724791746
243,nanning,22.8167,108.3167,27.25,87,72,0.94,CN,1724791747
244,umm kaddadah,13.6017,26.6876,23.49,90,100,2.57,SD,1724791749
245,eraan,9.0629,117.7016,25.55,92,100,5.09,PH,1724791750
246,tlacotepec,20.0667,-97.8667,22.03,90,80,2.63,MX,1724791752
247,gao,16.6362,1.637,34.29,41,85,6.9,ML,1724791753
248,tukrah,32.5341,20.5791,27.96,71,2,2.9,LY,1724791754
249,fabens,31.5023,-106.1586,31.67,30,75,3.68,US,1724791756
250,afaahiti,-17.75,-149.2833,21.83,77,100,6.89,PF,1724791758
251,phan rang-thap cham,11.5667,108.9833,25.75,79,98,1.22,VN,1724791760
252,tromso,69.6496,18.957,11.01,76,75,8.23,NO,1724791761
253,noumea,-22.2763,166.4572,22.78,99,5,3.85,NC,1724791762
254,colonia,50.9333,6.95,21.09,68,0,2.06,DE,1724791727
255,penzance,50.1186,-5.5371,17.38,92,100,5.28,GB,1724791765
256,tambacounda,13.7539,-13.7586,30.03,84,75,2.06,SN,1724791768
257,lautoka,-17.6167,177.4667,20.92,78,20,3.09,FJ,1724791769
258,barhi,23.9,80.8,23.87,89,90,2.56,IN,1724791770
259,neftcala,39.3742,49.2472,25.69,62,0,4.17,AZ,1724791772
260,atherton,53.5237,-2.4935,15.72,92,100,3.43,GB,1724791773
261,almeirim,-1.5233,-52.5817,29.64,59,56,1.75,BR,1724791774
262,mocimboa,-11.3167,40.35,23.28,92,36,0.99,MZ,1724791776
263,sretensk,52.2453,117.7093,11.5,96,4,1.78,RU,1724791777
264,yamada,39.4667,141.95,22.87,98,99,2.27,JP,1724791779
265,ulanhot,46.0833,122.0833,17.12,74,100,3.27,CN,1724791780
266,yaren,-0.5472,166.916,28.34,75,99,7.21,NR,1724791781
267,dhidhdhoo,6.8833,73.1,27.76,77,24,2.77,MV,1724791782
268,keflavik,64.0049,-22.5624,10.24,87,0,2.57,IS,1724791784
269,christchurch,-43.5333,172.6333,9.95,89,11,4.47,NZ,1724791491
270,rochelle,46.25,-1.0,22.38,57,0,3.09,FR,1724791787
271,atafu village,-8.5421,-172.5159,27.85,74,38,4.99,TK,1724791788
272,kodiak,57.79,-152.4072,14.73,67,75,6.17,US,1724791789
273,revda,56.801,59.9303,11.86,95,13,2.0,RU,1724791791
274,chiang kham,19.5233,100.3,19.98,79,100,1.09,TH,1724791792
275,nikolayevsk-on-amure,53.1406,140.73,14.95,93,70,1.37,RU,1724791794
